Account name	Year	Month	Post_Count
Asiwaju Bola Ahmed Tinubu	2022	3	2
Asiwaju Bola Ahmed Tinubu	2022	4	1
Asiwaju Bola Ahmed Tinubu	2022	5	5
Asiwaju Bola Ahmed Tinubu	2022	6	12
Asiwaju Bola Ahmed Tinubu	2022	7	15
Asiwaju Bola Ahmed Tinubu	2022	8	8
Asiwaju Bola Ahmed Tinubu	2022	9	10
Asiwaju Bola Ahmed Tinubu	2022	10	11
Asiwaju Bola Ahmed Tinubu	2022	11	4
Asiwaju Bola Ahmed Tinubu	2022	12	8
Asiwaju Bola Ahmed Tinubu	2023	1	13
Asiwaju Bola Ahmed Tinubu	2023	2	14
Asiwaju Bola Ahmed Tinubu	2023	3	10
Asiwaju Bola Ahmed Tinubu	2023	4	5
Asiwaju Bola Ahmed Tinubu	2023	5	11
Asiwaju Bola Ahmed Tinubu	2023	6	18
Atiku Abubakar	2020	2	4
Atiku Abubakar	2020	3	4
Atiku Abubakar	2020	4	8
Atiku Abubakar	2020	5	5
Atiku Abubakar	2020	6	3
Atiku Abubakar	2020	7	3
Atiku Abubakar	2020	8	5
Atiku Abubakar	2020	9	4
Atiku Abubakar	2020	10	14
Atiku Abubakar	2020	11	7
Atiku Abubakar	2020	12	5
Atiku Abubakar	2021	1	7
Atiku Abubakar	2021	2	9
Atiku Abubakar	2021	3	9
Atiku Abubakar	2021	4	2
Atiku Abubakar	2021	5	9
Atiku Abubakar	2021	6	7
Atiku Abubakar	2021	7	4
Atiku Abubakar	2021	8	12
Atiku Abubakar	2021	9	7
Atiku Abubakar	2021	10	22
Atiku Abubakar	2021	11	15
Atiku Abubakar	2021	12	13
Atiku Abubakar	2022	1	11
Atiku Abubakar	2022	2	3
Atiku Abubakar	2022	3	17
Atiku Abubakar	2022	4	14
Atiku Abubakar	2022	5	27
Atiku Abubakar	2022	6	39
Atiku Abubakar	2022	7	27
Atiku Abubakar	2022	8	41
Atiku Abubakar	2022	9	24
Atiku Abubakar	2022	10	39
Atiku Abubakar	2022	11	37
Atiku Abubakar	2022	12	29
Atiku Abubakar	2023	1	33
Atiku Abubakar	2023	2	39
Atiku Abubakar	2023	3	18
Atiku Abubakar	2023	4	13
Atiku Abubakar	2023	5	12
Atiku Abubakar	2023	6	1
Congressman Matt Gaetz	2020	1	46
Congressman Matt Gaetz	2020	2	49
Congressman Matt Gaetz	2020	3	26
Congressman Matt Gaetz	2020	4	48
Congressman Matt Gaetz	2020	5	39
Congressman Matt Gaetz	2020	6	63
Congressman Matt Gaetz	2020	7	54
Congressman Matt Gaetz	2020	8	58
Congressman Matt Gaetz	2020	9	55
Congressman Matt Gaetz	2020	10	93
Congressman Matt Gaetz	2020	11	75
Congressman Matt Gaetz	2020	12	96
Congressman Matt Gaetz	2021	1	139
Congressman Matt Gaetz	2021	2	134
Congressman Matt Gaetz	2021	3	139
Congressman Matt Gaetz	2021	4	61
Congressman Matt Gaetz	2021	5	88
Congressman Matt Gaetz	2021	6	68
Congressman Matt Gaetz	2021	7	51
